Auteur,Texte,Sentiment,Date,Texte_nettoye
#Université_Virtuelle," Université Virtuelle du Burkina Faso - UVBF , la rentrée c'est le 1er octobre 2024 
Le président de l'#Université_Virtuelle du Burkina Faso (UV-BF) porte à la connaissance des bacheliers, nouvellement #orientés dans les #diférentes_flières de l'UV-BF, à l'issue des sessions d'#orientation au titre de l'année 2024, que la #rentrée_académique 2024-2025 est prévue pour le mardi 1 octobre 2024.
À cet effet, différentes activités sont prévues selon le planning sivant :… En voir plus",neutre,01/01/2019,universit virtuel burkina faso uvbf rentrer cest er octobre prsident burkiner faso uvbf porte connaissance bachelier nouvellement luvbf lissu session titre lann prvue mardi octobr ce effet diffrente activit prvue selon planning siver voir plus
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../,"Appel a candidatures pour le recrutement sur dossier de 40 étudiants pour la troisième cohorte du Master Fouille de Donnees et Intelligence Artificielle au titre de l'année académique 2024 - 2025.
Plus d'informations sur notre site web : 
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,appel avoir candidature recrutement dossier tudiant troisim cohorte master fouille donnee intelligence artificiel titre lann acadmiqu plus dinformation sit web universit virtuel burkina faso formation universitaire qualit tout
Union Vosgienne Batteries Fanfares UVBF,"[𝐒𝐭𝐚𝐠𝐞]
Retour en images sur la semaine qu’ont passé nos stagiaires au stage la BF dans tous ses états à Roville-aux-chênes 
Contenu à retrouver maintenant aussi sur notre instagram!
Union Vosgienne Batteries Fanfares UVBF
CFBF",neutre,01/01/2019,retour image semain quont pas stagiaire stage bf tout tat rovilleauxchne contenu retrouver maintenant aussi instagram union vosgien batterie fanfare uvbf cfbf
Université Virtuelle du Burkina Faso - UVBF,Avec Université Virtuelle du Burkina Faso - UVBF – Je viens d’être reconnu(e) comme l’un(e) de ses meilleurs fans !,neutre,01/01/2019,universit virtuel burkina faso uvbf vien dtr reconnaître comme lune meilleur fan
#Campus,"#Campus #RAPPEL#
𝟏 𝐞́𝐭𝐮𝐝𝐢𝐚𝐧𝐭 𝟏 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫 / 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐞́ 𝐕𝐢𝐫𝐭𝐮𝐞𝐥𝐥𝐞 𝐝𝐮 𝐁𝐮𝐫𝐤𝐢𝐧𝐚 𝐅𝐚𝐬𝐨 - 𝐔𝐕𝐁𝐅 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en moins d'une semaine
subventionnés par l'état à 85%
Abonnez-vous à Agence Des Inscriptions en Ligne .",neutre,01/01/2019,ouverture plateform profit tudier luniversit virtuel orient luv souscrire ds maintenant ordinateurcampusfasobf livraison moins dun semaine subventionns ltat abonnezvous agence inscription lign
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en mois d'une semaine
subventionnés par l'état à 85%",neutre,01/01/2019,tudier ordinateur universit virtuel burkina faso uvbf ouverture plateform profit tudier luniversit virtuel orient luv souscrire ds maintenant ordinateurcampusfasobf livraison mois dun semaine subventionns ltat
https://uv.bf/formulaire-de-sondage-du-lieu-souhaite.../,"𝗨𝗻𝗶𝘃𝗲𝗿𝘀𝗶𝘁𝗲́ 𝗩𝗶𝗿𝘁𝘂𝗲𝗹𝗹𝗲 𝗕𝘂𝗿𝗸𝗶𝗻𝗮 𝗙𝗮𝘀𝗼
Formulaire de Sondage du lieu souhaité pour le retrait des puces téléphoniques afin de bénéficier de data gratuits (Mégas de connexion)
Dans le cadre de l’accompagnement des étudiants avec la connexion internet, l’Université Virtuelle du Burkina Faso (UV-BF) met à la disposition de ses étudiants des Cartes SIM ORANGE (puces téléphoniques) dédiées qui seront rechargées à hauteur de 10 Go/mois.
A cet effet, elle invite les étudiants dont les noms sont inscrits sur les listes ci-dessous à consulter les lieux de retrait indiqués sur ces listes pour le retrait des leurs Cartes SIM.
Consulter les listes sur notre site internet : https://uv.bf/formulaire-de-sondage-du-lieu-souhaite.../
Pour les étudiants qui souhaitent changer le lieu de retrait indiqué, merci de choisir la ville dans laquelle vous souhaitez retirer votre carte sim en remplissant le formulaire.
Bien vouloir remplir soigneusement le formulaire avec les bonnes informations au plus tard le 05 août 2024 à 23 h 59.
Lien du formulaire : https://forms.gle/YYUpfQ6LZhuPSeHp8
NB:
– Prière à ceux dont les noms ne figurent pas sur les listes, de pas renseigner le formulaire car ils ne seront pas pris en compte. Ces listes tiennent compte des étudiants régulièrement inscrits à l’UV-BF et qui prennent part régulièrement aux activités d’enseignement et d’évaluation.
– Ceux qui souhaitent conserver le lieu de retrait indiqué sur les listes n’ont pas besoin de remplir le formulaire
– Un programme et les lieux précis de retrait par ville vous seront communiqués dans une note d’information la semaine du 5 août 2024.
 #uvbf #campusfaso",neutre,01/01/2019,formulaire sondage lieu souher retraire puce tlphonique afin bnficier dater gratuit mga connexion cadre laccompagnement tudiant connexion internet luniversit virtuel burkina faso uvbf mettre disposition tudiant carte sim oranger puce tlphonique ddie recharge hauteur gomoi avoir ce effet invit tudiant dont nom inscrire liste cidessous consulter lieux retraire indiqu liste retraire leur carte sim consulter liste site internet tudiant souhaiter changer lieu retraire indiqu merci choisir ville lequel souhaiter retirer carte sim remplir formulaire bien vouloir remplir soigneusement formulaire bon information plus tard aot heure lien formulaire nb prire celui dont nom figurer liste renseigner formulaire car prendre compte liste tenir compte tudiant rguliremer inscrire luvbf prendre part rguliremer activits denseignement dvaluation celui souhaiter conserver lieu retraire indiqu liste nont besoin remplir formulaire programm lieux prci retraire vill communiqu note dinformation semain aot
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV-BF ? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en moins d'une semaine
subventionnés par l'état à 85%",neutre,01/01/2019,tudier ordinateur universit virtuel burkina faso uvbf ouverture plateform profit tudier luniversit virtuel orient luvbf souscrire ds maintenant ordinateurcampusfasobf livraison moins dun semaine subventionns ltat
Université Virtuelle du Burkina Faso - UVBF," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en moins d'une semaine
subventionnés par l'état à 85%",neutre,01/01/2019,tudier ordinateur universit virtuel burkina faso uvbf ouverture plateform profit tudier luniversit virtuel orient luv souscrire ds maintenant ordinateurcampusfasobf livraison moins dun semaine subventionns ltat
Université Virtuelle du Burkina Faso - UVBF,"Mon université 
Est-ce que tu es fière de ton université comme moi?
Université Virtuelle du Burkina Faso - UVBF 
#leadership #opportunités",positif,01/01/2019,universit estce fir universit comme universit virtuel burkina faso uvbf
#UVBF,"Retour en images sur la rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",neutre,01/01/2019,retour image rencontr daccueil dinformation nouveau tudiant luvbf universit virtuel burkina faso formation universitaire qualit tout
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Comment récupérer ses accès de connexion à la plateforme de l'UV-BF ?""
Chers étudiants, cette vidéo vous montre comment récupérer vos identifiants de connexion en cas d'oubli ou de perte. Suivez attentivement les instructions pour accéder facilement à votre espace personnel.
Astuce : Si vous rencontrez des difficultés pour récupérer vos accès, vérifiez toujours votre dossier ""Spam"" ou ""Courrier indésirable"" de votre boîte mail, car les messages de récupération peuvent parfois s’y trouver.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : 
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,uvbf dcouvrez tutoriel pris main thme jour comment rcuprer acc connexion avoir plateform luvbf cher tudiant ce vido montr comment rcuprer identifiant connexion cas doubli perte suivre attentivement instruction accder facilement espace personnel astuce si rencontrer difficults rcuprer acc vrifier toujours dossier spam courrier indsirabl bote mail car message rcupration pouvoir parfois sy trouver rappel acc bientt disponible communication spcifiqu faire informer attendre tutoriel aider tre prt ds identifiant envoy trouver plus tutoriels vido chane youtube luvbf travers lien ensembl matrison plateform russir ce ann acadmique universit virtuel burkina faso formation universitaire qualit tout
www.uv.bf,"L’Université Virtuelle du Burkina Faso, université publique burkinabè, porte à la connaissance des nouveaux bacheliers, souhaitant s’orienter en première année de Licence, au titre de l’année académique 2024-2025, qu’elle dispose des filières de formation suivantes :
1. Pour le Programme Sciences Fondamentales, ce sont les filières :
- Mathématiques 
- Physique et Ingénierie de l’énergie
- Chimie
- Sciences de la vie et de la terre
2. Pour le Programme Sciences Transversales, ce sont les filières :
- Géomatique Appliquée,
- Lettres modernes
- Sciences Économiques et de Gestion
- Sciences Juridiques et Politiques
S’orienter à l’UV-BF, c’est bénéficier :
- d’une formation innovante et de qualité ;
- d’espaces de travail dotés d’équipements et de technologies de haute qualité ;
- d’un ordinateur subventionné à 85% ;
- d’une dotation mensuelle en connectivité internet de 10 Go.
Les orientations se font en ligne via la plateforme CAMPUS FASO dans le cadre des demandes d’orientation des bacheliers dans les universités publiques.
Deux appels à candidatures pour le Master en Intelligence Artificielle et Fouilles de Données et le Master en Sciences de l’Éducation et de la Formation sont aussi ouverts, du 14 août au 15 septembre 2024. Ces deux appels peuvent être consultés  sur le site web de l’UV-BF : www.uv.bf
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,luniversit virtuel burkina faso universit public burkinab porte connaissance nouveau bachelier souhaiter sorienter premir ann licence titre lann acadmiqu quell disposer filire formation suivant programm science fondamental filire mathmatique physique ingnierie lnergie chimie science vie terre programm science transversal filire gomatiqu appliqu lettre moderne science conomique gestion science juridique politique sorienter luvbf cest bnficier dune formation innovant qualit despaces travail dot dquipement technologier haute qualit dun ordinateur subventionn dune dotation mensuel connectivit internet go orientation faire ligne via plateform campus faso cadre demande dorientation bachelier universit public deux appel candidature master intelligence artificiel fouille donne master science lducation formation aussi ouvrir aot septembre deux appel pouvoir tre consult site web luvbf wwwuvbf universit virtuel burkina faso formation universitaire qualit tout
#UVBF," Rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Chers nouveaux étudiants,
L'Université Virtuelle du Burkina Faso (UV-BF) vous invite à participer à la rencontre d'accueil et d'information prévue pour demain, mardi 15 octobre 2024.
En raison du nombre de places limitées à l'Espace Numérique Ouvert (ENO) de Karpala, nous vous encourageons à suivre l'événement en ligne via notre page Facebook pour ne rien manquer de cette rencontre.
 Date : Mardi 15 octobre 2024
 Heure : 08h00 (Mise en place des étudiants 07h30)
 Lieu : ENO de Karpala et en direct sur notre page Facebook
Ne manquez pas cette opportunité pour obtenir toutes les informations nécessaires pour réussir votre année universitaire.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",neutre,01/01/2019,rencontre daccueil dinformation nouveau tudiant luvbf cher nouveau tudiant luniversit virtuel burkina faso uvbf invite participer rencontre daccueil dinformation prvue demain mardi octobre raison nombre place limite lespace numriqu ouvert eno karpala encourageon suivre lvnement ligne via page facebook rien manquer ce rencontre date mardi octobr heure heure mise place tudiant h lieu eno karpala direct page facebook manquer ce opportunit obtenir tout information ncessaire russir ann universitaire universit virtuel burkina faso formation universitaire qualit tout
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Participer à un forum sur la plateforme de formation de l'UV-BF.""
Lien : https://www.youtube.com/watch?v=krnHItlu_XI&amp;list=PLdbqBcoIap2nvUrnX1HVpuLgaR4uhZ_x9&amp;index=13… En voir plus",neutre,01/01/2019,uvbf dcouvrez tutoriel pris main thme jour participer forum plateform formation luvbf lien voir plus
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour 8 : ""Les informations de profil sur la plateforme de formation de l'UV-BF.""
Lien : https://www.youtube.com/watch?v=6oKYuqrw2tE...
Chers étudiants, ce tutoriel vous explique comment configurer et mettre à jour votre profil personnel sur la plateforme de formation de l’UV-BF. Vous y découvrirez comment ajouter ou modifier vos informations, paramétrer votre photo de profil et ajuster vos préférences pour optimiser votre expérience d’apprentissage en ligne.
Astuce : Assurez-vous que toutes vos informations personnelles sont correctement renseignées, notamment votre adresse e-mail et vos coordonnées, pour être bien informé des communications importantes de l’université.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : https://www.youtube.com/@universitevirtuelleburkina8294
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,uvbf dcouvrez tutoriel pris main thme jour information profil plateform formation luvbf lien cher tudiant tutoriel expliquer comment configurer mettre jour profil personnel plateform formation luvbf dcouvrirer comment ajouter modifier information paramtrer photo profil ajuster prfrence optimiser exprienc dapprentissage ligne astuce assurezvous tout information personnel correctement renseigne notamment adresse e-mail coordonne tre bien inform communication important luniversit rappel acc bientt disponible communication spcifiqu faire informer attendre tutoriel aider tre prt ds identifiant envoy trouver plus tutoriels vido chane youtube luvbf travers lien ensembl matrison plateform russir ce ann acadmique universit virtuel burkina faso formation universitaire qualit tout
#UVBF,"Reportage de 3TV sur la rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",neutre,01/01/2019,reportage tv rencontre daccueil dinformation nouveau tudiant luvbf universit virtuel burkina faso formation universitaire qualit tout
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour 15 : ""Envoi d'un message sur le forum de la plateforme de formation de l'UV-BF.""
lien : https://www.youtube.com/watch?v=TMVvXelZP7E...
Chers étudiants, ce tutoriel vous montre comment rédiger et envoyer un message sur les forums de discussion de la plateforme. Vous apprendrez à choisir le bon forum, à structurer correctement votre message et à interagir efficacement avec vos enseignants et camarades de classe.
Astuce : Avant de publier un message, assurez-vous que votre question ou commentaire n'a pas déjà été posé dans la discussion. Cela évite les doublons et améliore la qualité des échanges.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF.
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,uvbf dcouvrez tutoriel pris main thme jour envoi dun message forum plateform formation luvbf lien cher tudiant tutoriel montr comment rdiger envoyer message forum discussion plateform apprendre choisir bon forum structurer correctement message interagir efficacement enseignant camarader classe astuce avant publier message assurezvou question commentair na dj pos discussion celer vite doublon amlior qualit change rappel acc bientt disponible communication spcifiqu faire informer attendre tutoriel aider tre prt ds identifiant envoy trouver plus tutoriels vido chane youtube luvbf ensemble matrison plateform russir ce ann acadmique universit virtuel burkina faso formation universitaire qualit tout
https://www.afd.fr/fr/actualites/numerique-programme-direcct-afrique-caraibes-pacifiqu," Connaissez-vous le programme Direcct (Digital Response Connecting Citizens) ? 
Il vise à renforcer les services numériques en Afrique, dans les Caraïbes et le Pacifique. Mis en oeuvre en pleine crise du Covid-19, il se déploie depuis dans 45 pays avec notre soutien et celui d’ Enabel, l’agence de coopération belge. Il cible trois secteurs essentiels : la santé, les petites et moyennes entreprises  et l’éducation.
 Avec des exemples concrets, on vous explique le succès de ce programme. 
  https://www.afd.fr/fr/actualites/numerique-programme-direcct-afrique-caraibes-pacifique
#Biopama EU International Partnerships France Diplomatie Oxfam Bibliothèques Sans Frontières Expertise France Université Virtuelle du Burkina Faso - UVBF Institut de recherche pour le développement (IRD)",neutre,01/01/2019,connaissezvous programm direcct digital response connecting citizens vise renforcer service numrique afrique carabe pacifique mettre oeuvre pleine crise covid dploie depuis pays soutien celui enabel lagence coopration belge cible trois secteur essentiel ser petit moyenne entreprise lducation exemple concret expliquer succs programm international partnerships france diplomatie oxfam bibliothquer sans frontire expertis france universit virtuel burkina faso uvbf institut recherche dveloppement ird
#Rentrée2024,"#Rentrée2024 - UV-BF : Sessions d'information Facebook Live pour les nouveaux étudiants !
Chers étudiants, à l’occasion de la rentrée académique 2024-2025, l’Université Virtuelle du Burkina Faso (UV-BF) souhaite vous communiquer toutes les informations nécessaires pour démarrer l’année dans les meilleures conditions.
Nous avons le plaisir de vous annoncer l’organisation de deux sessions Facebook Live dédiées aux nouveaux étudiants, qui auront lieu :
 Le 3 octobre 2024 a partir de 14h00
 Le 10 octobre 2024 a partir de 14h00
Ces sessions seront l’occasion de répondre à vos questions et de vous présenter d'avantage l’université.
N’hésitez pas à nous rejoindre en ligne afin d'avoir toutes les informations nécessaires pour bien débuter votre parcours à l'UV-BF.",neutre,01/01/2019,uvbf session dinformation facebook live nouveau tudiant cher tudiant loccasion rentrer acadmiqu luniversit virtuel burkina faso uvbf souhaiter communiquer tout information ncessaire dmarrer lann meilleur condition plaisir annoncer lorganisation deux session facebook live ddie nouveau tudiant lieu octobr avoir partir heure octobr avoir partir heure session loccasion rpondre question prsenter davantage luniversit nhsiter rejoindre ligne afin davoir tout information ncessaire bien dbuter parcour luvbf
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Présentation de l'interface d'un cours sur la plateforme de formation de l'UV-BF.""
Chers étudiants, cette vidéo vous offre un tour complet de l’interface de chaque cours sur notre plateforme. Vous y découvrirez les principales sections, comment accéder aux documents, aux modules, et comment naviguer efficacement à travers les différentes ressources pédagogiques mises à votre disposition.
Astuce : Prenez le temps de vous familiariser avec chaque section du cours avant de commencer vos lectures. Cela vous permettra de mieux organiser votre apprentissage et de suivre les ressources dans l’ordre recommandé par votre enseignant.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : https://www.youtube.com/watch?v=5J1dOLpAiiw...
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,uvbf dcouvrez tutoriel pris main thme jour prsentation linterface dun cours plateform formation luvbf cher tudiant ce vido offrir tour complet linterfac chaque cours plateform dcouvrirez principal section comment accder document module comment naviguer efficacement travers diffrente ressource pdagogique mettre disposition astuce prendre temps familiariser chaque section cours avant commencer lecture celer permettre mieux organiser apprentissage suivre ressource lordre recommand enseigner rappel acc bientt disponible communication spcifiqu faire informer attendre tutoriel aider tre prt ds identifiant envoy trouver plus tutoriels vido chane youtube luvbf travers lien ensembl matrison plateform russir ce ann acadmique universit virtuel burkina faso formation universitaire qualit tout
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../,"Appel a candidatures pour le recrutement sur dossier de 40 étudiants pour la deuxième cohorte du Master en Sciences de l'Education et de la Formation au titre de l'année académique 2024 - 2025.
Plus d'informations sur notre site web : https://uv.bf/appel-a-candidatures-pour-le-recrutement.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,appel avoir candidature recrutement dossier tudier deuxim cohorte master science leducation formation titre lann acadmiqu plus dinformation sit web universit virtuel burkina faso formation universitaire qualit tout
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Chers étudiants, la rentrée 2024-2025 approche à grands pas, et pour vous accompagner au mieux dans la découverte de notre plateforme de formation, l'Université Virtuelle du Burkina Faso (UV-BF) lance une série de tutoriels vidéo.
À partir de ce lundi 30 septembre et jusqu'au 15 novembre 2024, nous diffuserons 17 tutoriels vidéo pour vous guider pas à pas dans l’utilisation de notre plateforme de cours. Chaque vidéo sera partagée ici sur notre page Facebook et également disponible sur notre chaîne YouTube officielle.
Thème du jour : ""Comment se connecter à la plateforme de formation de l'UV-BF ?""
Cette vidéo vous guidera étape par étape pour effectuer votre première connexion à notre plateforme de formation en ligne. N'oubliez pas de suivre chaque étape pour vous assurer un accès rapide et sécurisé à vos cours.
Astuce : Prenez des notes pendant la vidéo pour vous rappeler des informations clés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : https://www.youtube.com/watch?v=5J1dOLpAiiw...
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,uvbf dcouvrez tutoriel pris main cher tudiant rentrer approche grand accompagner mieux dcouverte plateform formation luniversit virtuel burkina faso uvbf lance sri tutoriel vido partir lundi septembr jusquau novembre diffuseron tutoriel vido guider lutilisation plateform cours chaque vido partage ici page facebook galement disponible chane youtube officiel thme jour comment connecter plateform formation luvbf ce vido guidera tap tap effectuer premir connexion plateform formation lign noublier suivre chaque tape assurer acc rapide scuri cours astuce prendre note pendant vido rappeler information cl trouver plus tutoriels vido chane youtube luvbf travers lien ensembl matrison plateform russir ce ann acadmique universit virtuel burkina faso formation universitaire qualit tout
https://uv.bf/formulaire-de-sondage-du-lieu-souhaite.../,"Formulaire de Sondage du lieu souhaité pour le retrait des puces téléphoniques afin de bénéficier de data gratuits (Mégas de connexion)
Dans le cadre de l’accompagnement des étudiants avec la connexion internet, l’Université Virtuelle du Burkina Faso (UV-BF) met à la disposition de ses étudiants des Cartes SIM ORANGE (puces téléphoniques) dédiées qui seront rechargées à hauteur de 10 Go/mois.
A cet effet, elle invite les étudiants dont les noms sont inscrits sur les listes ci-dessous à consulter les lieux de retrait indiqués sur ces listes pour le retrait des leurs Cartes SIM.
Consulter les listes sur notre site internet : https://uv.bf/formulaire-de-sondage-du-lieu-souhaite.../
Pour les étudiants qui souhaitent changer le lieu de retrait indiqué, merci de choisir la ville dans laquelle vous souhaitez retirer votre carte sim en remplissant le formulaire.
Bien vouloir remplir soigneusement le formulaire avec les bonnes informations au plus tard le 05 août 2024 à 23 h 59.
Lien du formulaire : https://forms.gle/YYUpfQ6LZhuPSeHp8
NB:
– Prière à ceux dont les noms ne figurent pas sur les listes, de pas renseigner le formulaire car ils ne seront pas pris en compte. Ces listes tiennent compte des étudiants régulièrement inscrits à l’UV-BF et qui prennent part régulièrement aux activités d’enseignement et d’évaluation.
– Ceux qui souhaitent conserver le lieu de retrait indiqué sur les listes n’ont pas besoin de remplir le formulaire
– Un programme et les lieux précis de retrait par ville vous seront communiqués dans une note d’information la semaine du 5 août 2024.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",neutre,01/01/2019,formulaire sondage lieu souher retraire puce tlphonique afin bnficier dater gratuit mga connexion cadre laccompagnement tudiant connexion internet luniversit virtuel burkina faso uvbf mettre disposition tudiant carte sim oranger puce tlphonique ddie recharge hauteur gomoi avoir ce effet invit tudiant dont nom inscrire liste cidessous consulter lieux retraire indiqu liste retraire leur carte sim consulter liste site internet tudiant souhaiter changer lieu retraire indiqu merci choisir ville lequel souhaiter retirer carte sim remplir formulaire bien vouloir remplir soigneusement formulaire bon information plus tard aot heure lien formulaire nb prire celui dont nom figurer liste renseigner formulaire car prendre compte liste tenir compte tudiant rguliremer inscrire luvbf prendre part rguliremer activits denseignement dvaluation celui souhaiter conserver lieu retraire indiqu liste nont besoin remplir formulaire programm lieux prci retraire vill communiqu note dinformation semain aot universit virtuel burkina faso formation universitaire qualit tout
#Campus,"#Campus 
𝗥𝗲𝘁𝗿𝗮𝗶𝘁 𝗱𝗲𝘀 𝗽𝘂𝗰𝗲𝘀 𝘁𝗲́𝗹𝗲́𝗽𝗵𝗼𝗻𝗶𝗾𝘂𝗲𝘀 𝗮𝗳𝗶𝗻 𝗱𝗲 𝗯𝗲́𝗻𝗲́𝗳𝗶𝗰𝗶𝗲𝗿 𝗱𝗲 𝗹𝗮 𝗰𝗼𝗻𝗻𝗲𝘅𝗶𝗼𝗻 𝗴𝗿𝗮𝘁𝘂𝗶𝘁𝗲 (𝗠𝗲́𝗴𝗮𝘀 𝗱𝗲 𝗰𝗼𝗻𝗻𝗲𝘅𝗶𝗼𝗻) – 𝗩𝗶𝗹𝗹𝗲 𝗱𝗲 𝗢𝗨𝗔𝗚𝗔𝗗𝗢𝗨𝗚𝗢𝗨.
Dans le cadre de l’accompagnement des étudiants avec la connexion internet, l’Université Virtuelle du Burkina Faso (UV-BF) met à la disposition de ses étudiants des Cartes SIM ORANGE (puces téléphoniques) dédiées qui seront rechargées à hauteur de 10 Go/mois.
A cet effet, elle invite ses étudiants de la ville de OUAGADOUGOU dont les noms su… En voir plus",neutre,01/01/2019,cadre laccompagnement tudiant connexion internet luniversit virtuel burkina faso uvbf mettre disposition tudiant carte sim oranger puce tlphonique ddie recharge hauteur gomoi avoir ce effet invit tudiant ville ouagadougou dont nom savoir voir plus
Université Virtuelle du Burkina Faso - UVBF,"Les étudiants de l' Université Virtuelle du Burkina Faso - UVBF ont effectué une visite de l'une des plus haute institution étatique : la Présidence du Faso. L'accueil, le chant de l'hymne nationale, la plateforme, les installations solaires de la présidence, la résidence officielle des chefs d'état, la salle polyvalente, l'historique et les photos des anciens présidents, furent les temps forts de cette visite. En cette visite j'en tire une remémoration d'une partie de l'histoire de ma chère patrie et une culture qui s'ajoute à mes connaissances de cette institution.
Merci beaucoup au bureau des étudiants de l'Université Virtuelle pour cette belle initiative.",neutre,01/01/2019,tudiant universit virtuel burkina faso uvbf effectu visite lun plus haute institution tatiqu prsidence faso laccueil chant lhymne national plateform installation solaire prsidence rsidence officiel chef dtat salle polyvalent lhistoriqu photo ancien prsident temps fort ce visite ce visite jen tire remmoration dun partie lhistoir chre patrie culture sajout connaissance ce institution merci beaucoup bureau tudiant luniversit virtuel ce bel initiative
