Auteur,Texte,Date
#Campus,"#Campus 
𝗥𝗲𝘁𝗿𝗮𝗶𝘁 𝗱𝗲𝘀 𝗽𝘂𝗰𝗲𝘀 𝘁𝗲́𝗹𝗲́𝗽𝗵𝗼𝗻𝗶𝗾𝘂𝗲𝘀 𝗮𝗳𝗶𝗻 𝗱𝗲 𝗯𝗲́𝗻𝗲́𝗳𝗶𝗰𝗶𝗲𝗿 𝗱𝗲 𝗹𝗮 𝗰𝗼𝗻𝗻𝗲𝘅𝗶𝗼𝗻 𝗴𝗿𝗮𝘁𝘂𝗶𝘁𝗲 (𝗠𝗲́𝗴𝗮𝘀 𝗱𝗲 𝗰𝗼𝗻𝗻𝗲𝘅𝗶𝗼𝗻) – 𝗩𝗶𝗹𝗹𝗲 𝗱𝗲 𝗢𝗨𝗔𝗚𝗔𝗗𝗢𝗨𝗚𝗢𝗨.
Dans le cadre de l’accompagnement des étudiants avec la connexion internet, l’Université Virtuelle du Burkina Faso (UV-BF) met à la disposition de ses étudiants des Cartes SIM ORANGE (puces téléphoniques) dédiées qui seront rechargées à hauteur de 10 Go/mois.
A cet effet, elle invite ses étudiants de la ville de OUAGADOUGOU dont les noms su… En voir plus",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Les étudiants de l' Université Virtuelle du Burkina Faso - UVBF ont effectué une visite de l'une des plus haute institution étatique : la Présidence du Faso. L'accueil, le chant de l'hymne nationale, la plateforme, les installations solaires de la présidence, la résidence officielle des chefs d'état, la salle polyvalente, l'historique et les photos des anciens présidents, furent les temps forts de cette visite. En cette visite j'en tire une remémoration d'une partie de l'histoire de ma chère patrie et une culture qui s'ajoute à mes connaissances de cette institution.
Merci beaucoup au bureau des étudiants de l'Université Virtuelle pour cette belle initiative.",01/01/2018
https://uv.bf/retrait-des-puces-telephoniques-afin-de.../,"Retrait des puces téléphoniques afin de bénéficier de la connexion gratuite (Mégas de connexion) – Villes de BOBO DIOULASSO, FADA, GAOUA, KAYA, KOUDOUGOU, OUAHIGOUYA, TENKODOGO et ZINIARE.
Dans le cadre de l’accompagnement des étudiants avec la connexion internet, l’Université Virtuelle du Burkina Faso (UV-BF) met à la disposition de ses étudiants des Cartes SIM ORANGE (puces téléphoniques) dédiées qui seront rechargées à hauteur de 10 Go/mois.
A cet effet, elle invite ses étudiants des villes de BOBO DIOULASSO, FADA, GAOUA, KAYA, KOUDOUGOU, OUAHIGOUYA, TENKODOGO et ZINIARE, dont les noms suivent a se rendre du 19 au 20 Aout 2024, au differents lieux indiqués par ville, pour le retrait de leurs Cartes SIM.
Le lieu de retrait pour chaque ville est précisé sur chaque liste.
La liste des villes de BANFORA et DEDOUGOU seront publiées ultérieurement.
Consulter les listes sur notre site internet : https://uv.bf/retrait-des-puces-telephoniques-afin-de.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Découvrons Université Virtuelle du Burkina Faso - UVBF 
Les #orientations dans cette université se font au même moment que dans les universités classiques à  t… En voir plus",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Cérémonie de montée des couleurs et journée de salubrité
Ce lundi 7 octobre 2024, à l'Espace Numérique Ouvert (ENO) de Karpala, l'Université Virtuelle du Burkina Faso (UV-BF) a organisé une cérémonie de montée des couleurs suivie d'une activité de  salubrité.
Cette journée symbolique vise à renforcer l'esprit de cohésion au sein de l'UV-BF, à  promouvoir l'engagement patriotique et le civisme. L'UV-BF continue ainsi de s'affirmer comme un cadre de formation universitaire accessible, tout en intégrant les enjeux de développement durable et de responsabilité citoyenne.
À cette occasion, le Président de l'UV-BF, Pr Jean-Marie DIPAMA, a adressé ses encouragements à l'administration et à l'ensemble des membres de la communauté universitaire de l'UV-BF. Il a insisté sur l'importance d'incarner les valeurs de citoyenneté et de responsabilité sociale au quotidien. Selon lui, l'avenir du pays repose sur l'engagement de chaque individu et aucun membre de la communauté ne doit être laissé pour compte.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
"Organisation des Nations unies pour l'éducation, la science et la culture","𝐒𝐞𝐦𝐚𝐢𝐧𝐞 𝐀𝐟𝐫𝐢𝐜𝐚𝐢𝐧𝐞 𝐝𝐞 𝐥’𝐈𝐧𝐠𝐞́𝐧𝐢𝐞𝐫𝐢𝐞 𝟐𝟎𝟐𝟒 – 𝐫𝐞́𝐜𝐚𝐩𝐢𝐭𝐮𝐥𝐚𝐭𝐢𝐟 𝐝𝐮 𝐩𝐫𝐨𝐠𝐫𝐚𝐦𝐦𝐞 𝐝𝐮 𝐉𝐨𝐮𝐫 𝟐. 
Une journée riche en savoirs et en découvertes.  La suite des conférences.
 Conférence 3 : On the convergence rate of a stable neural Stochastic differential equations with swarm intelligence.
M. Bazie Ywo Josué a présenté les équations différentielles stochastiques et de l’intelligence collective, montrant comment elles révolutionnent l'intelligence artificielle.
Conférence 4 : L'IA au Service de l'Éducation en Afrique : Réinventer l'éducation grâce à l'IA : Nouvelles méthodes d'apprentissage et visions d'avenir
Dr. Rodrique Kafando a montré comment l'Intelligence artificielle transforme les systèmes éducatifs africains, offrant de nouvelles approches d'apprentissage et ouvrant des perspectives prometteuses pour l'avenir de l'éducation sur le continent.
Conférence 5 : La Computer Vision à l'aide de YOLO.
 M. Coulibaly Adama a présenté les puissantes capacités de YOLO (You Only Look Once), une méthode révolutionnaire en Computer Vision.
Workshop : Création de prompts efficaces avec les LLM (Large Language Models)
Animé par M. Kiebré, les participants ont appris à  créer des prompts précis et performants.
Cc Organisation des Nations unies pour l'éducation, la science et la culture Citadel-uvbf Université Virtuelle du Burkina Faso - UVBF ISGE BF - Institut Supérieur de Génie Électrique du Burkina Faso 
#SemaineAfricaineDeLIngénierie #IA #Éducation #ComputerVision #SwarmIntelligence #YOLO #AI #LLM #FormationAI #Innovation #Afrique #UVBF #UNESCO .",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,Avec Université Virtuelle du Burkina Faso - UVBF – Je viens d’être reconnu(e) comme l’un(e) de ses super fans !,01/01/2018
#rentréeacadémique,"#rentréeacadémique  des nouveaux bacheliers orientés à l'université virtuelle- UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Comment se connecter à la plateforme de formation de l'UV-BF ?""
Cette vidéo vous guidera étape par étape pour effectuer votre première connexion à notre plateforme de formation en ligne. N'oubliez pas de suivre chaque étape pour vous assurer un accès rapide et sécurisé à vos cours.… En voir plus",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,Appel à candidatures pour le 𝗠𝗮𝘀𝘁𝗲𝗿 𝗲𝗻 𝗜𝗻𝘁𝗲𝗹𝗹𝗶𝗴𝗲𝗻𝗰𝗲 𝗮𝗿𝘁𝗶𝗳𝗶𝗰𝗶𝗲𝗹𝗹𝗲 𝗲𝘁 𝗙𝗼𝘂𝗶𝗹𝗹𝗲𝘀 𝗱𝗲 𝗱𝗼𝗻𝗻𝗲́𝗲𝘀 à l' Université Virtuelle du Burkina Faso - UVBF  du 14 août au 15 septembre 2024.,01/01/2018
AUF Burkina Faso,"J'ai eu du plaisir à travailler avec vous chers génies.
Thématique : École et transformation écologique ( Appel de Toulouse)
Merci aux partenaires pour cette opportunité.
AUF Burkina Faso Université Virtuelle du Burkina Faso - UVBF 
#BurkinaFaso,#Algérie #liban #Haïti,#Portugal #Arménie",01/01/2018
#informatique,"#informatique #OUAGA2000 #UniversitéVirtuelle #uvbf 
Flow informatique regroupant quelques notions d'architecture des ordinateurs, introduction au réseau, système d'exploitation... Pour vous faire apprendre vos leçons ",01/01/2018
https://docs.google.com/.../1FAIpQLScKkfF9zYN.../viewform...,"𝐂𝐀𝐌𝐏 𝐃'𝐈𝐍𝐈𝐓𝐈𝐀𝐓𝐈𝐎𝐍 𝐄𝐍 𝐈𝐍𝐅𝐎𝐑𝐌𝐀𝐓𝐈𝐐𝐔𝐄
L'Agence universitaire de la Francophonie (AUF) au Burkina Faso, organise à travers son Campus numérique francophone de nouvelle génération (CNF 5.0),une formation d'initiation en informatique au profil des étudiants en année de licence.
𝗣𝗲́𝗿𝗶𝗼𝗱𝗲 𝗱'𝗶𝗻𝘀𝗰𝗿𝗶𝗽𝘁𝗶𝗼𝗻:  𝗱𝘂 𝟭𝟮 𝗮𝘂 𝟭𝟱 𝗮𝗼𝘂̂𝘁 𝟮𝟬𝟮𝟰
𝗣𝘂𝗯𝗹𝗶𝗰 𝗰𝗶𝗯𝗹𝗲: Etudiants en L1 et L2 des institutions membres ou partenaires de l’AUF au Burkina Faso.
𝗠𝗼𝗱𝘂𝗹𝗲𝘀 :
Architecture et système d'exploitation des micro -ordinateurs;
Saisie de texte;
Traitement de tableur;
Internet et réseaux sociaux. 
𝗟𝗶𝗲𝘂 𝗱𝗲 𝗹𝗮 𝗳𝗼𝗿𝗺𝗮𝘁𝗶𝗼𝗻:  Campus numérique francophone de Ouagadougou sise à l'Université Joseph KI-ZERBO
𝗡𝗼𝗺𝗯𝗿𝗲 𝗱𝗲 𝗽𝗹𝗮𝗰𝗲𝘀 : 𝟮𝟬
𝗣𝗮𝗿𝘁𝗶𝗰𝗶𝗽𝗮𝘁𝗶𝗼𝗻 𝗴𝗿𝗮𝘁𝘂𝗶𝘁 𝗲𝘁 𝗮𝘁𝘁𝗲𝘀𝘁𝗮𝘁𝗶𝗼𝗻 𝗼𝗳𝗳𝗲𝗿𝘁𝗲
Pour s’inscrire, merci de remplir le formulaire ci-dessous 
https://docs.google.com/.../1FAIpQLScKkfF9zYN.../viewform...
𝐍𝐁 : 𝐥𝐞𝐬 𝐜𝐚𝐧𝐝𝐢𝐝𝐚𝐭(𝐞)𝐬 𝐫𝐞𝐭𝐞𝐧𝐮(𝐞)𝐬 𝐬𝐞𝐫𝐨𝐧𝐭 𝐜𝐨𝐧𝐭𝐚𝐜𝐭𝐞́(𝐞)𝐬.
AUF - Afrique de l'Ouest Universite  Norbert  ZONGO Université Libre du Burkina Université Joseph Ki-Zerbo Université Virtuelle du Burkina Faso - UVBF Université Thomas Sankara officiel Université AUBE Nouvelle U Auben ISIG International Institut Supérieur Privé Polytechnique - ISPP Officiel Université Nazi BONI",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Deuxième session d'information Facebook Live pour les nouveaux étudiants !
Nous serons en ligne dans peu, merci de rester connecté !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"j'ai eu l'honneur d'être convié à un atelier organisé par le Centre d'excellence interdisciplinaire en intelligence artificielle ( CITADEL), à Koudougou, pour explorer comment l'intelligence artificielle peut répondre aux défis actuels. Durant ces deux jours de réflexion intense, enrichis par les présentations d'experts en IA, nous avons acquis des compétences précieuses qui, nous en sommes convaincus, joueront un rôle clé dans le progrès numérique de notre pays. Nous tenons à exprimer notre profonde gratitude à Citadelle pour cette initiative visionnaire, ainsi qu'à tous les partenaires qui ont contribué à faire de cet atelier une véritable réussite. Merci infiniment pour cette opportunité qui marque une étape importante dans notre évolution collective.
Université Virtuelle du Burkina Faso - UVBF",01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en moins d'une semaine
subventionnés par l'état à 85%
Assistance :  69 50 36 99 ",01/01/2018
www.campusfaso.bf,"Decouvrons Université Virtuelle du Burkina Faso - UVBF 
C'est une université publique et les cours se font entièrement en ligne,  pareil pour certaines évaluations.
Les orientations dans cette université se font au même moment que dans les universités classiques à  travers la plateforme forme www.campusfaso.bf .
Du 7 au 17 septembre 2024 ,il y a la session de rattrapage. 
Pour les filières :
-les littéraires peuvent s'inscrire en #lettres_modernes et en #Droit.
-les scientifiques peuvent s'inscrire en #économie,  #mathématiques,  #physique, #informatique, #SVT,#geomatique...
Dans vos choix d'options privilégier les filières de l'université virtuelle si toutefois vous voulez fréquenter là-bas.
#NB: Les frais se limitent  à #51.500 Fcfa pour ce qui est des filières #lettres_modernes,  #DROIT et #économie pour les candidats salariés et les  bacheliers de session antérieure à 2023 par contre  les élèves (2023, 2024) paient 16.500 Fcfa. 
Et vous avez droit à un ordinateur subventionné à #85% .
CampusFaso",01/01/2018
CFBF - Confédération Française des Batteries & Fanfares,"Ce soir c’est Burger Frites bien mérité avant la répétition du soir!! 
CFBF - Confédération Française des Batteries & Fanfares
La BF dans tous ses états - Stage CFBF Grand-Est
Union Vosgienne Batteries Fanfares UVBF",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Université Virtuelle du Burkina Faso - UVBF  informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, 𝐥𝐞 𝟐𝟔 𝐉𝐮𝐢𝐥𝐥𝐞𝐭 𝟐𝟎𝟐𝟒 𝐚𝐟𝐢𝐧 𝐝𝐞 𝐫é𝐜𝐮𝐩é𝐫𝐞𝐫 𝐥𝐞𝐮𝐫𝐬 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫𝐬 𝐝𝐞 𝐌𝐚𝐫𝐪𝐮𝐞 𝐇𝐀𝐈𝐄𝐑 𝐂𝐞𝐥𝐞𝐫𝐨𝐧 𝐞𝐭 𝐇𝐈 𝐂𝐞𝐥𝐞𝐫𝐨𝐧.
Par ailleurs, tout étudiant ayant eu sa subvention accordée et ayant la preuve, peut passer récupérer son ordinateur, même si son nom ne figure pas sur la présente liste.
La remise des ordinateurs se fait a… En voir plus",01/01/2018
https://www.1jeune1emploi.com/telechargement-du-communique/,"𝐋'𝐀𝐔𝐅 𝐁𝐮𝐫𝐤𝐢𝐧𝐚 𝐅𝐚𝐬𝐨, à travers son 𝗖𝗲𝗻𝘁𝗿𝗲 𝗱’𝗘𝗺𝗽𝗹𝗼𝘆𝗮𝗯𝗶𝗹𝗶𝘁𝗲́ 𝗙𝗿𝗮𝗻𝗰𝗼𝗽𝗵𝗼𝗻𝗲 (𝗖𝗘𝗙) 𝗱𝗲 𝗢𝘂𝗮𝗴𝗮𝗱𝗼𝘂𝗴𝗼𝘂, recrute, dans le cadre de son programme d'activités pour 2024, 𝟮𝟬𝟬 𝗲́𝘁𝘂𝗱𝗶𝗮𝗻𝘁𝘀 𝗲𝘁 𝗷𝗲𝘂𝗻𝗲𝘀 𝗱𝗶𝗽𝗹𝗼̂𝗺𝗲́𝘀 pour un accompagnement global à l’insertion professionnelle et à l’entrepreneuriat.
Pour plus d’informations et pour  participer au recrutement, 𝙨𝙘𝙖𝙣𝙣𝙚𝙯 𝙡𝙚 𝙌𝙍 𝙘𝙤𝙙𝙚 𝙨𝙪𝙧 𝙡𝙚 𝙫𝙞𝙨𝙪𝙚𝙡 ou 𝙘𝙡𝙞𝙦𝙪𝙚𝙯 𝙨𝙪𝙧 𝙡𝙚 𝙡𝙞𝙚𝙣 𝙘𝙞-𝙙𝙚𝙨𝙨𝙤𝙪𝙨 :
Inscription au programme:
https://www.1jeune1emploi.com/telechargement-du-communique/
AUF - Afrique de l'Ouest Université Joseph Ki-Zerbo Universite  Norbert  ZONGO Université Virtuelle du Burkina Faso - UVBF Université Thomas Sankara officiel Université AUBE Nouvelle U Auben ISIG International Université Nazi BONI Institut Supérieur Privé Polytechnique - ISPP Officiel IMPACT Plus Portail Burkinapmepmi",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"C'est très important d'avoir ces compétences.
Merci à Dr OUEDRAOGO Émile de Université Virtuelle du Burkina Faso - UVBF à qui je dois beaucoup de respect dans ce domaine. 
C'est une discipline qui très enseignée et encouragée dans les écoles du Canada. Elle est simple à apprendre et très bénéfique.
Je vous ( @à la une ) encourage donc à développer quelques compétences informationnelles et vous ne serez pas déçu.",01/01/2018
http," Rappel du jour. 
 15 octobre 
 Rencontre d'accueil et d'information
 8h 00.
 Lieu, Facebook live sur la page de l'université virtuelle en ligne et en présentiel à L'ENO 
http… En voir plus",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Sessions d'information Facebook Live pour les nouveaux étudiants !
Nous serons en ligne dans peu, merci de rester connecté !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
www.campusfaso.bf,"𝗖𝗥𝗘𝗔𝗧𝗜𝗢𝗡 𝗗𝗘 𝗖𝗢𝗠𝗣𝗧𝗘 𝗕𝗔𝗖 𝟮𝟬𝟮𝟰 (𝗜𝗡𝗘)
à 𝐩𝐚𝐫𝐭𝐢𝐫 𝐝𝐮 𝟐𝟓 𝐣𝐮𝐢𝐥𝐥𝐞𝐭
*Pour les BAC burkinabè :
aller sur le site: www.campusfaso.bf
1- cliquer sur « ouvrir mon compte » ou « orientation »
2- Renseigner vos informations de BAC : Année du BAC, Numéro PV, Date de Naissance
3- Cliquer sur « Valider »
4- Compléter vos informations personnelles :numéro de téléphone, adresse gmail etc.
* pas de dossier à renseigner pour les BAC obtenus au Burkina Faso
𝐍𝐁: 𝐥𝐞𝐬 #𝐁𝐀𝐂 𝐝𝐞 𝐥’é𝐭𝐫𝐚𝐧𝐠𝐞𝐫 𝐝𝐞𝐯𝐫𝐨𝐧𝐭 𝐚𝐥𝐥𝐞𝐫 𝐝𝐚𝐧𝐬 𝐥𝐞 𝐦𝐞𝐧𝐮 
« 𝐢𝐧𝐬𝐜𝐫𝐢𝐩𝐭𝐢𝐨𝐧𝐬 𝐁𝐀𝐂 é𝐭𝐫𝐚𝐧𝐠𝐞𝐫 » 𝐞𝐭 𝐛𝐢𝐞𝐧 𝐬𝐮𝐢𝐯𝐫𝐞 𝐥𝐞𝐬 𝐢𝐧𝐬𝐭𝐫𝐮𝐜𝐭𝐢𝐨𝐧𝐬
Veuillez bien lire les informations et instructions sur la #plateforme.
 𝐑𝐀𝐏𝐏𝐄𝐋
* 𝐃é𝐩ô𝐭 𝐝𝐞 𝐝𝐨𝐬𝐬𝐢𝐞𝐫 𝐝𝐞𝐬 𝐭𝐞𝐬𝐭𝐬 𝐝𝐞 𝟏è𝐫𝐞 𝐚𝐧𝐧é𝐞 𝐝𝐮 𝟐𝟓 𝐣𝐮𝐢𝐥𝐥𝐞𝐭 𝐚𝐮 𝟏0 𝐚𝐨û𝐭 𝟐𝟎𝟐𝟒
* 𝟏è𝐫𝐞 𝐬𝐞𝐬𝐬𝐢𝐨𝐧 𝐝𝐞𝐬 𝐝𝐞𝐦𝐚𝐧𝐝𝐞𝐬 𝐝'𝐨𝐫𝐢𝐞𝐧𝐭𝐚𝐭𝐢𝐨𝐧 (𝐁𝐀𝐂 𝟐𝟎𝟐𝟑 𝐞𝐭 𝟐𝟎𝟐𝟒)  𝐝𝐮   𝟎𝟒 𝐚𝐮 𝟏𝟓 𝐚𝐨û𝐭 𝟐𝟎𝟐𝟒
Ministère Enseignement Supérieur, Recherche et Innovation 
Direction Générale de l'Enseignement Supérieur - DGESup - 
CampusFaso 
Université Joseph Ki-Zerbo 
Université Thomas Sankara officiel 
Université de Fada N'Gourma 
Universite  Norbert  ZONGO 
Université Daniel Ouezzin Coulibaly 
Université Nazi BONI 
Université  de Ouahigouya-UOHG 
Université Virtuelle du Burkina Faso - UVBF 
Ecole Polytechnique de Ouagadougou - EPO 
FONER Officiel 
CENOU Burkina 
#BurkinaFaso  #campusfaso #Bacheliers2024 #Étudiants #lwili",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Pour ce jour 9, nous avons 02 thèmes :
Thème 1 : Présentation du tableau de bord d'un cours sur la plateforme de formation de l'UV-BF.
Lien : https://www.youtube.com/watch?v=AAWvQPNJKrc...
Thème 2 : Présentation du tableau de bord des cours sur la plateforme de formation de l'UV-BF.
Lien : https://www.youtube.com/watch?v=HB8znxhNcwk...
Chers étudiants, ces deux vidéos vous guideront à travers les différents tableaux de bord disponibles sur la plateforme de formation. Vous apprendrez à naviguer entre le tableau de bord d’un cours individuel (pour consulter les détails et les ressources spécifiques à chaque matière) et le tableau de bord général (qui offre une vue d’ensemble de tous vos cours, de vos tâches et de vos notifications).
Astuce 1 : Utilisez le tableau de bord général pour suivre facilement l’état d’avancement de vos cours et gérer vos priorités.
Astuce 2 : Pour chaque cours, explorez le tableau de bord individuel pour accéder rapidement aux annonces, aux documents de cours, et aux discussions spécifiques.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ces tutoriels vous aideront à vous familiariser avec la structure de la plateforme dès que vous recevrez vos identifiants.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : https://www.youtube.com/watch?v=5J1dOLpAiiw...
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en mois d'une semaine
subventionnés par l'état à 85%
Passe l'information à ton frère ou à ton voisin ",01/01/2018
#aiubf,"𝗭𝗢𝗢𝗠 𝗦𝗨𝗥 L'𝗨𝗡𝗜𝗩𝗘𝗥𝗦𝗜𝗧𝗘̨ 𝗩𝗜𝗥𝗧𝗨𝗘𝗟𝗟𝗘 𝗕𝗨𝗥𝗞𝗜𝗡𝗔 
l'université virtuelle est une université public,les cours se font en 𝗹𝗶𝗴𝗻𝗲, l'année 2023-2024 avec le projet présidentiel 1étudiant 1ordinateur,les ordinateurs étaient subventionnés à 85% Ainsi que les forfaits internet pour tous les étudiants qui y sont orientés,
Les orientations se font sur la plateforme campusFaso tout comme les étudiants des autres universités publiques du Burkina Faso
#aiubf 
 Université Virtuelle du Burkina Faso - UVBF",01/01/2018
Salifou ,"𝗥𝗲𝗻𝗳𝗼𝗿𝗰𝗲𝗺𝗲𝗻𝘁 𝗱𝗲𝘀 𝗰𝗮𝗽𝗮𝗰𝗶𝘁𝗲́𝘀 𝗱𝗲𝘀 𝗺𝗲𝗺𝗯𝗿𝗲𝘀 𝗲𝘁 𝘀𝘆𝗺𝗽𝗮𝘁𝗵𝗶𝘀𝗮𝗻𝘁𝘀 : 𝗕𝗼𝗼𝘁𝗰𝗮𝗺𝗽 𝘀𝘂𝗿 𝗹𝗮 𝗽𝗿𝗼𝗱𝘂𝗰𝘁𝗶𝘃𝗶𝘁𝗲́ 𝗮𝘃𝗲𝗰 𝗚𝗼𝗼𝗴𝗹𝗲 𝗪𝗼𝗿𝗸𝘀𝗽𝗮𝗰𝗲
Dans le cadre de notre stratégie de développement des compétences, nous avons initié des sessions de Bootcamp visant à renforcer les capacités de nos membres et sympathisants. Actuellement, nous avons le plaisir de proposer une formation axée sur l’amélioration de la productivité grâce aux outils de Google Workspace.
Cette formation est animée par Monsieur Salifou … En voir plus",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Seulement à Université Virtuelle du Burkina Faso - UVBF 
𝐒𝐞𝐬𝐬𝐢𝐨𝐧 𝐝𝐞 𝐫𝐚𝐭𝐭𝐫𝐚𝐩𝐚𝐠𝐞 𝐝𝐞𝐬 𝐨𝐫𝐢𝐞𝐧𝐭𝐚𝐭𝐢𝐨𝐧𝐬 𝐝𝐮 𝟎𝟕 𝐚𝐮 𝟏𝟕 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟒
Retrouvez filières de l'UV-BF ici  https://www.campusfaso.bf/formations/rechercher-formation
L'université sans frontières! ",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Université Virtuelle du Burkina Faso - UVBF une formation de Qualité pour tous..
L'université est PUBLIC,Lors de vos demandes d'orientations, scrollez juste en bas vous verrez l'université,faites vos choix..
#orientation #aiubf #uvbf",01/01/2018
Université Virtuelle du Burkina Faso - UVBF," Université Virtuelle du Burkina Faso - UVBF , la rentrée c'est le 1er octobre 2024 
Le président de l'#Université_Virtuelle du Burkina Faso (UV-BF) porte à la connaissance des bacheliers, nouvellement #orientés dans les #diférentes_flières de l'UV-BF, à l'issue des sessions d'#orientation au titre de l'année 2024, que la #rentrée_académique 2024-2025 est prévue pour le mardi 1 octobre 2024.
À cet effet, différentes activités sont prévues selon le planning sivant :… En voir plus",01/01/2018
La BF dans tous ses états - Stage CFBF Grand-Est,"Beau cadeau pour nos percussionnistes aujourd’hui à La BF dans tous ses états - Stage CFBF Grand-Est
Merci au partenaire du jour KIX BAGUETTES. 
KIX drumsticks… En voir plus",01/01/2018
#session," 𝗖𝗜𝗧É𝗦 𝗨𝗡𝗜𝗩𝗘𝗥𝗦𝗜𝗧𝗔𝗜𝗥𝗘𝗦
Une #session sera ouverte pour les dépôts, en ligne des demandes de lits, au titre de l'année universitaire 2024-2025.
𝐩𝐫𝐞𝐦𝐢è𝐫𝐞 𝐬𝐞𝐬𝐬𝐢𝐨𝐧 𝐝𝐮 𝐝𝐢𝐦𝐚𝐧𝐜𝐡𝐞 𝟏𝟓 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟒 𝐚𝐮 𝐣𝐞𝐮𝐝𝐢 𝟐𝟔 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟒.
 𝐝𝐞𝐮𝐱𝐢è𝐦𝐞 𝐬𝐞𝐬𝐬𝐢𝐨𝐧 𝐝𝐮 𝐝𝐢𝐦𝐚𝐧𝐜𝐡𝐞 𝟐𝟗 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝐚𝐮 𝐝𝐢𝐦𝐚𝐧𝐜𝐡𝐞 𝟎𝟔 𝐨𝐜𝐭𝐨𝐛𝐫𝐞 𝟐𝟎𝟐𝟒.
sur : «www.campusfaso.bf »;
ou «hebergement.campusfaso.bf ».
Une #fiche_technique explicative des différentes étapes du dépôt des demandes est jointe au présent communiqué pour guider les demandeurs.
NB: les #dossiers à fournir sont expliqués dans la fiche technique ci-joint.
Sont concernés: 
#Etudiants, des universités publiques et privées conventionnées, des
villes de #Bobo_Dioulasso, de #Koudougou et de #Ouagadougou, régulièrement #inscrits, non-salariés et demandeurs de chambres en #cités ou résidences universitaires pour la première fois.
Ministère Enseignement Supérieur, Recherche et Innovation 
Direction Générale de l'Enseignement Supérieur - DGESup - 
Université Joseph Ki-Zerbo 
Université Nazi BONI 
Université Thomas Sankara officiel 
Université de Fada N'Gourma 
Universite  Norbert  ZONGO 
Université Virtuelle du Burkina Faso - UVBF 
Université Daniel Ouezzin Coulibaly 
Université Lédéa Bernard Ouédraogo-ULBO 
Ecole Polytechnique de Ouagadougou - EPO 
CENOU Burkina 
CEFORGRIS-Université Joseph Ki-Zerbo 
FONER Officiel",01/01/2018
